#time	V(n002)
2.094310719994717e-003	1.626731e+000
2.095310719994717e-003	1.641879e+000
2.096310719994717e-003	1.656963e+000
2.097310719994717e-003	1.671982e+000
2.098310719994717e-003	1.686934e+000
2.099310719994717e-003	1.701820e+000
2.100310719994717e-003	1.716638e+000
2.101310719994717e-003	1.731389e+000
2.102310719994718e-003	1.746072e+000
2.103310719994718e-003	1.760685e+000
2.104310719994718e-003	1.775229e+000
2.105310719994718e-003	1.789703e+000
2.106310719994718e-003	1.804109e+000
2.112310719994719e-003	1.892986e+000
2.118310719994720e-003	1.976546e+000
2.124310719994720e-003	2.054789e+000
2.130310719994721e-003	2.127716e+000
2.136310719994722e-003	2.195325e+000
2.142310719994723e-003	2.257618e+000
2.148310719994724e-003	2.314593e+000
2.158025005709011e-003	2.379341e+000
2.167739291423298e-003	2.435124e+000
2.177453577137585e-003	2.481942e+000
2.187167862851872e-003	2.519793e+000
2.196882148566159e-003	2.548680e+000
2.206596434280446e-003	2.568601e+000
2.216310719994733e-003	2.579556e+000
2.232167862851878e-003	2.598262e+000
2.248025005709023e-003	2.605207e+000
2.263882148566168e-003	2.600391e+000
2.279739291423312e-003	2.583815e+000
2.295596434280458e-003	2.555477e+000
2.311453577137602e-003	2.515380e+000
2.327310719994747e-003	2.463521e+000
2.335025005709034e-003	2.428672e+000
2.342739291423321e-003	2.382276e+000
2.350453577137607e-003	2.324332e+000
2.358167862851895e-003	2.254841e+000
2.365882148566181e-003	2.173803e+000
2.373596434280468e-003	2.081216e+000
2.381310719994755e-003	1.977083e+000
2.382310719994755e-003	1.963491e+000
2.393310719994756e-003	1.809545e+000
2.394310719994756e-003	1.795165e+000
2.395310719994756e-003	1.780717e+000
2.396310719994757e-003	1.766199e+000
2.397310719994757e-003	1.751612e+000
2.398310719994757e-003	1.736956e+000
2.399310719994757e-003	1.722230e+000
2.400310719994757e-003	1.707438e+000
2.401310719994757e-003	1.692577e+000
2.402310719994757e-003	1.677650e+000
2.403310719994758e-003	1.662656e+000
2.404310719994758e-003	1.647597e+000
2.405310719994758e-003	1.632473e+000
2.406310719994758e-003	1.617285e+000
2.407310719994758e-003	1.602032e+000
2.408310719994758e-003	1.586716e+000
2.409310719994758e-003	1.571338e+000
2.410310719994758e-003	1.555898e+000
2.411310719994759e-003	1.540396e+000
2.412310719994759e-003	1.524833e+000
2.414310719994759e-003	1.493528e+000
2.416310719994759e-003	1.461987e+000
2.418310719994760e-003	1.430215e+000
2.420310719994760e-003	1.398217e+000
2.422310719994760e-003	1.365999e+000
2.424310719994760e-003	1.333565e+000
2.427310719994761e-003	1.284520e+000
2.430310719994761e-003	1.235019e+000
2.433310719994762e-003	1.185079e+000
2.435310719994762e-003	1.151551e+000
2.437310719994762e-003	1.117841e+000
2.442739291423334e-003	1.025191e+000
2.448167862851907e-003	9.316242e-001
2.453596434280479e-003	8.371398e-001
2.459025005709051e-003	7.417381e-001
2.464453577137623e-003	6.454191e-001
2.469882148566195e-003	5.481827e-001
2.475310719994767e-003	4.500291e-001
2.478882148566196e-003	3.852633e-001
2.482453577137625e-003	3.203854e-001
2.486025005709054e-003	2.553953e-001
2.489596434280483e-003	1.902931e-001
2.493167862851912e-003	1.250787e-001
2.496739291423341e-003	5.975219e-002
2.500310719994770e-003	-5.686501e-003
2.505025005709057e-003	-9.213577e-002
2.509739291423343e-003	-1.783159e-001
2.514453577137629e-003	-2.642269e-001
2.519167862851916e-003	-3.498687e-001
2.523882148566202e-003	-4.352414e-001
2.528596434280488e-003	-5.203449e-001
2.533310719994775e-003	-6.051793e-001
2.537739291423347e-003	-6.843635e-001
2.542167862851919e-003	-7.628676e-001
2.546596434280491e-003	-8.406913e-001
2.551025005709063e-003	-9.178349e-001
2.555453577137635e-003	-9.942983e-001
2.559882148566207e-003	-1.070081e+000
2.564310719994779e-003	-1.145184e+000
2.567310719994779e-003	-1.195459e+000
2.570310719994780e-003	-1.245310e+000
2.573310719994780e-003	-1.294718e+000
2.576310719994780e-003	-1.343665e+000
2.578310719994781e-003	-1.376033e+000
2.580310719994781e-003	-1.408184e+000
2.582310719994781e-003	-1.440112e+000
2.584310719994782e-003	-1.471812e+000
2.586310719994782e-003	-1.503281e+000
2.587310719994782e-003	-1.518926e+000
2.588310719994782e-003	-1.534512e+000
2.589310719994782e-003	-1.550037e+000
2.590310719994782e-003	-1.565500e+000
2.591310719994782e-003	-1.580902e+000
2.592310719994783e-003	-1.596242e+000
2.593310719994783e-003	-1.611518e+000
2.594310719994783e-003	-1.626731e+000
2.595310719994783e-003	-1.641879e+000
2.596310719994783e-003	-1.656963e+000
2.597310719994783e-003	-1.671982e+000
2.598310719994783e-003	-1.686934e+000
2.599310719994784e-003	-1.701820e+000
2.600310719994784e-003	-1.716638e+000
2.601310719994784e-003	-1.731389e+000
2.602310719994784e-003	-1.746072e+000
2.603310719994784e-003	-1.760685e+000
2.604310719994784e-003	-1.775229e+000
2.605310719994784e-003	-1.789703e+000
2.606310719994784e-003	-1.804109e+000
2.612310719994785e-003	-1.892986e+000
2.618310719994786e-003	-1.976546e+000
2.624310719994787e-003	-2.054789e+000
2.630310719994788e-003	-2.127716e+000
2.636310719994788e-003	-2.195325e+000
2.642310719994789e-003	-2.257618e+000
2.648310719994790e-003	-2.314593e+000
2.653025005709076e-003	-2.349923e+000
2.657739291423363e-003	-2.382208e+000
2.662453577137649e-003	-2.411447e+000
2.667167862851936e-003	-2.437640e+000
2.671882148566222e-003	-2.460788e+000
2.676596434280508e-003	-2.480890e+000
2.681310719994794e-003	-2.497947e+000
2.682310719994795e-003	-2.501479e+000
2.702882148566226e-003	-2.555113e+000
2.723453577137657e-003	-2.589270e+000
2.744025005709088e-003	-2.603951e+000
2.764596434280520e-003	-2.599154e+000
2.785167862851951e-003	-2.574881e+000
2.805739291423382e-003	-2.531131e+000
2.826310719994814e-003	-2.467905e+000
2.835025005709100e-003	-2.428023e+000
2.843739291423387e-003	-2.374131e+000
2.852453577137674e-003	-2.306228e+000
2.861167862851961e-003	-2.224313e+000
2.869882148566248e-003	-2.128387e+000
2.878596434280535e-003	-2.018450e+000
2.887310719994822e-003	-1.894501e+000
2.888310719994822e-003	-1.880501e+000
2.889310719994822e-003	-1.866437e+000
2.890310719994822e-003	-1.852309e+000
2.891310719994822e-003	-1.838118e+000
2.892310719994822e-003	-1.823864e+000
2.893310719994823e-003	-1.809546e+000
2.894310719994823e-003	-1.795165e+000
2.895310719994823e-003	-1.780717e+000
2.896310719994823e-003	-1.766199e+000
2.897310719994823e-003	-1.751612e+000
2.898310719994823e-003	-1.736956e+000
2.899310719994823e-003	-1.722230e+000
2.900310719994823e-003	-1.707438e+000
2.901310719994824e-003	-1.692577e+000
2.902310719994824e-003	-1.677650e+000
2.903310719994824e-003	-1.662656e+000
2.904310719994824e-003	-1.647597e+000
2.905310719994824e-003	-1.632473e+000
2.906310719994824e-003	-1.617285e+000
2.907310719994824e-003	-1.602032e+000
2.908310719994825e-003	-1.586716e+000
2.909310719994825e-003	-1.571338e+000
2.910310719994825e-003	-1.555898e+000
2.911310719994825e-003	-1.540396e+000
2.912310719994825e-003	-1.524833e+000
2.914310719994825e-003	-1.493528e+000
2.916310719994826e-003	-1.461987e+000
2.918310719994826e-003	-1.430215e+000
2.920310719994826e-003	-1.398217e+000
2.922310719994826e-003	-1.365999e+000
2.924310719994827e-003	-1.333565e+000
2.927310719994827e-003	-1.284520e+000
2.930310719994827e-003	-1.235019e+000
2.933310719994828e-003	-1.185079e+000
2.935310719994828e-003	-1.151551e+000
2.937310719994828e-003	-1.117841e+000
2.942739291423400e-003	-1.025191e+000
2.948167862851973e-003	-9.316242e-001
2.953596434280545e-003	-8.371398e-001
2.959025005709117e-003	-7.417381e-001
2.964453577137689e-003	-6.454191e-001
2.969882148566261e-003	-5.481827e-001
2.975310719994833e-003	-4.500291e-001
2.982310719994834e-003	-3.230658e-001
2.985025005709120e-003	-2.736175e-001
2.987739291423406e-003	-2.241256e-001
2.990453577137692e-003	-1.745901e-001
2.993167862851979e-003	-1.250111e-001
2.995882148566265e-003	-7.538855e-002
2.998596434280551e-003	-2.572242e-002
3.001310719994837e-003	2.398726e-002
3.006739291423409e-003	1.235859e-001
3.012167862851981e-003	2.227539e-001
3.017596434280553e-003	3.214913e-001
3.023025005709125e-003	4.197979e-001
3.028453577137697e-003	5.176739e-001
3.033882148566270e-003	6.151191e-001
3.039310719994842e-003	7.121337e-001
3.042882148566271e-003	7.754045e-001
3.046453577137700e-003	8.382064e-001
3.050025005709129e-003	9.005396e-001
3.053596434280558e-003	9.624039e-001
3.057167862851987e-003	1.023800e+000
3.060739291423416e-003	1.084726e+000
3.064310719994845e-003	1.145184e+000
3.067310719994846e-003	1.195459e+000
3.070310719994846e-003	1.245310e+000
3.073310719994846e-003	1.294718e+000
3.076310719994847e-003	1.343665e+000
3.078310719994847e-003	1.376033e+000
3.080310719994847e-003	1.408184e+000
3.082310719994848e-003	1.440112e+000
3.084310719994848e-003	1.471812e+000
3.086310719994848e-003	1.503281e+000
3.087310719994848e-003	1.518926e+000
3.088310719994848e-003	1.534512e+000
3.089310719994849e-003	1.550037e+000
3.090310719994849e-003	1.565500e+000
3.091310719994849e-003	1.580902e+000
3.092310719994849e-003	1.596242e+000
3.093310719994849e-003	1.611518e+000
3.094310719994849e-003	1.626731e+000
3.095310719994849e-003	1.641879e+000
3.096310719994850e-003	1.656963e+000
3.097310719994850e-003	1.671982e+000
3.098310719994850e-003	1.686934e+000
3.099310719994850e-003	1.701820e+000
3.100310719994850e-003	1.716638e+000
3.101310719994850e-003	1.731389e+000
3.102310719994850e-003	1.746072e+000
3.103310719994850e-003	1.760685e+000
3.104310719994851e-003	1.775229e+000
3.105310719994851e-003	1.789703e+000
3.106310719994851e-003	1.804109e+000
3.112310719994852e-003	1.892986e+000
3.118310719994852e-003	1.976546e+000
3.124310719994853e-003	2.054789e+000
3.130310719994854e-003	2.127716e+000
3.136310719994855e-003	2.195325e+000
3.142310719994856e-003	2.257618e+000
3.148310719994856e-003	2.314593e+000
3.158025005709143e-003	2.379341e+000
3.167739291423430e-003	2.435124e+000
3.177453577137717e-003	2.481942e+000
3.187167862852005e-003	2.519793e+000
3.196882148566292e-003	2.548680e+000
3.206596434280578e-003	2.568601e+000
3.216310719994865e-003	2.579556e+000
3.225596434280581e-003	2.589862e+000
3.234882148566297e-003	2.596878e+000
3.244167862852012e-003	2.600603e+000
3.253453577137727e-003	2.601039e+000
3.262739291423443e-003	2.598184e+000
3.272025005709158e-003	2.592040e+000
3.281310719994874e-003	2.582605e+000
3.282310719994874e-003	2.581354e+000
3.292025005709161e-003	2.570880e+000
3.301739291423448e-003	2.551721e+000
3.311453577137735e-003	2.523877e+000
3.321167862852022e-003	2.487347e+000
3.330882148566309e-003	2.442132e+000
3.340596434280596e-003	2.388232e+000
3.350310719994883e-003	2.325647e+000
3.356310719994884e-003	2.270851e+000
3.362310719994885e-003	2.210426e+000
3.368310719994886e-003	2.144372e+000
3.374310719994886e-003	2.072688e+000
3.380310719994887e-003	1.995376e+000
3.386310719994888e-003	1.912434e+000
3.392310719994889e-003	1.823862e+000
3.394310719994889e-003	1.795165e+000
3.395310719994889e-003	1.780717e+000
3.396310719994889e-003	1.766199e+000
3.397310719994889e-003	1.751612e+000
3.398310719994890e-003	1.736956e+000
3.399310719994890e-003	1.722230e+000
3.400310719994890e-003	1.707438e+000
3.401310719994890e-003	1.692577e+000
3.402310719994890e-003	1.677650e+000
3.403310719994890e-003	1.662656e+000
